Asset,n,Regime,Average Return,Volatility,Sharpe Ratio,Max Drawdown
Gold,2,1,0.01135275553105927,0.05650783723760332,0.20090585812589803,-0.38526298450765223
Gold,2,2,0.002211722602233708,0.0487029614498966,0.04541248696979193,-0.6290718713404163
Gold,2,3,0.011970880582709183,0.07073380259797017,0.16923847075984444,-0.30299742233156557
Gold,2,4,0.007391240849548031,0.05010573160837094,0.1475128815066181,-0.5074925497896963
Bonds,2,1,0.005005053871795115,0.01697255094019363,0.2948910796869298,-0.11976174258969237
Bonds,2,2,0.008708646468852378,0.017751323529823004,0.49059138909960537,-0.12267322317593073
Bonds,2,3,0.00037526304837106353,0.019056484045301914,0.01969214507140833,-0.1877632301179984
Bonds,2,4,0.004510807508852904,0.02219972713322843,0.20319202491913296,-0.15301539955293864
S&P 500_asset,2,1,0.025389469559833122,0.041427084581157916,0.612871260831637,-0.08941849664335019
S&P 500_asset,2,2,0.02830432471868237,0.0387831660461395,0.7298095437852938,-0.08996198610785557
S&P 500_asset,2,3,-0.02853909667647294,0.04297892370963526,-0.664025392289544,-0.9997074965388202
S&P 500_asset,2,4,-0.02430312494155152,0.059114683231865556,-0.41111824698827126,-0.9981619552479959
Gold,3,1,0.009539209862263651,0.05148165799308416,0.1852933692140434,-0.3950729199432288
Gold,3,2,0.005064920333452373,0.05080973457649127,0.09968405416146021,-0.43551820063601177
Gold,3,3,0.012716863162058927,0.07476231623818566,0.17009723349854766,-0.3998134781456782
Gold,3,4,0.004307412785818379,0.05034295636334141,0.08556137932644216,-0.32821167632743553
Bonds,3,1,0.004577954820992283,0.01591906691491899,0.28757683132181117,-0.10680682152308142
Bonds,3,2,0.008614599140739407,0.01752708769394667,0.49150202767083945,-0.1226732231759311
Bonds,3,3,0.002375681308215837,0.01990755402913788,0.11933567050671562,-0.1528979699814391
Bonds,3,4,0.0022189187174339177,0.024039187400736878,0.09230423143861763,-0.15301539955293852
S&P 500_asset,3,1,0.02188945221591284,0.04204814047914914,0.520580743083452,-0.08799266727772687
S&P 500_asset,3,2,0.02375838189204373,0.040054989622516336,0.5931441280086688,-0.19848331156959878
