DateTime,Growth,Inflation
2003-01-31,855.7,1.49
2003-02-28,841.15,1.75
2003-03-31,848.18,1.65
2003-04-30,916.92,1.45
2003-05-30,963.59,1.26
2003-06-30,974.5,1.45
2003-07-31,990.31,1.75
2003-08-29,1008.01,1.99
2003-09-30,995.97,1.86
2003-10-31,1050.71,2.06
2003-11-28,1058.2,2.02
2003-12-31,1111.92,2.03
2004-01-30,1131.13,2.16
2004-02-27,1144.94,2.38
2004-03-31,1126.21,2.29
2004-04-30,1107.3,2.34
2004-05-31,1120.68,2.55
2004-06-30,1140.84,2.43
2004-07-30,1101.72,2.41
2004-08-31,1104.24,2.27
2004-09-30,1114.58,2.33
2004-10-29,1130.2,2.49
2004-11-30,1173.82,2.76
2004-12-31,1211.92,2.64
2005-01-31,1181.27,2.58
2005-02-28,1203.6,2.82
2005-03-31,1180.59,2.87
2005-04-29,1156.85,2.73
2005-05-31,1191.5,2.47
2005-06-30,1191.33,2.31
2005-07-29,1234.18,2.32
2005-08-31,1220.33,2.44
2005-09-30,1228.81,2.72
2005-10-31,1207.01,2.64
2005-11-30,1249.48,2.35
2005-12-30,1248.29,2.3
2006-01-31,1280.08,2.58
2006-02-28,1280.66,2.68
2006-03-31,1294.87,2.58
2006-04-28,1310.61,2.67
2006-05-31,1270.09,2.68
2006-06-30,1270.2,2.63
2006-07-31,1276.66,2.54
2006-08-31,1303.82,2.44
2006-09-29,1335.85,2.25
2006-10-31,1377.94,2.1
2006-11-30,1400.63,2.24
2006-12-29,1418.3,2.26
2007-01-31,1438.24,2.42
2007-02-28,1406.82,2.4
2007-03-30,1420.86,2.51
2007-04-30,1482.37,2.45
2007-05-31,1530.62,2.33
2007-06-29,1503.35,2.33
2007-07-31,1455.27,2.17
2007-08-31,1473.99,1.97
2007-09-28,1526.75,2.11
2007-10-31,1549.38,2.26
2007-11-30,1481.14,2.24
2007-12-31,1468.36,2.27
2008-01-31,1378.55,2.15
2008-02-29,1330.63,2.3
2008-03-31,1322.7,2.19
2008-04-30,1385.59,2.26
2008-05-30,1400.38,2.4
2008-06-30,1280.0,2.63
2008-07-31,1267.38,2.16
2008-08-29,1282.83,1.89
2008-09-30,1166.36,0.97
2008-10-31,968.75,-0.96
2008-11-28,896.24,-2.24
2008-12-31,903.25,-0.26
2009-01-30,825.88,0.38
2009-02-27,735.09,0.58
2009-03-31,797.87,0.73
2009-04-30,872.81,0.82
2009-05-29,919.14,1.36
2009-06-30,919.32,1.34
2009-07-31,987.48,1.32
2009-08-31,1020.62,1.12
2009-09-30,1057.08,1.37
2009-10-30,1036.19,1.61
2009-11-30,1095.63,1.75
2009-12-31,1115.1,2.13
2010-01-29,1073.87,1.91
2010-02-26,1104.49,1.83
2010-03-31,1169.43,1.83
2010-04-30,1186.69,2.01
2010-05-31,1089.41,1.69
2010-06-30,1030.71,1.54
2010-07-30,1101.6,1.43
2010-08-31,1049.33,1.19
2010-09-30,1141.2,1.3
2010-10-29,1183.26,1.48
2010-11-30,1180.55,1.54
2010-12-31,1257.64,1.83
2011-01-31,1286.12,1.96
2011-02-28,1327.22,2.15
2011-03-31,1325.83,2.21
2011-04-29,1363.61,2.45
2011-05-31,1345.2,2.0
2011-06-30,1320.64,2.03
2011-07-29,1292.28,2.07
2011-08-31,1218.89,1.72
2011-09-30,1131.42,1.5
2011-10-31,1253.3,1.88
2011-11-30,1246.96,1.76
2011-12-30,1257.6,1.59
2012-01-31,1312.41,1.88
2012-02-29,1365.68,1.99
2012-03-30,1408.47,2.02
2012-04-30,1397.91,2.06
2012-05-31,1310.33,1.72
2012-06-29,1362.16,1.72
2012-07-31,1379.32,1.83
2012-08-31,1406.58,1.95
2012-09-28,1440.67,2.11
2012-10-31,1412.16,2.12
2012-11-30,1416.18,2.01
2012-12-31,1426.19,2.09
2013-01-31,1498.11,2.33
2013-02-28,1514.68,2.18
2013-03-29,1569.19,2.24
2013-04-30,1597.57,2.06
2013-05-31,1630.74,1.87
2013-06-28,1606.28,1.76
2013-07-31,1685.73,1.87
2013-08-30,1632.97,1.78
2013-09-30,1681.55,1.74
2013-10-31,1756.54,1.74
2013-11-29,1805.81,1.69
2013-12-31,1848.36,1.69
2014-01-31,1782.59,1.72
2014-02-28,1859.45,1.79
2014-03-31,1872.34,1.7
2014-04-30,1883.95,1.96
2014-05-30,1923.57,1.93
2014-06-30,1960.23,2.0
2014-07-31,1930.67,1.97
2014-08-29,2003.37,1.76
2014-09-30,1972.29,1.56
2014-10-31,2018.05,1.53
2014-11-28,2067.56,1.39
2014-12-31,2058.9,1.27
2015-01-30,1994.99,1.29
2015-02-27,2104.5,1.49
2015-03-31,2067.89,1.51
2015-04-30,2085.51,1.72
2015-05-29,2107.39,1.57
2015-06-30,2063.11,1.61
2015-07-31,2103.84,1.36
2015-08-31,1972.18,1.26
2015-09-30,1920.03,1.07
2015-10-30,2079.36,1.2
2015-11-30,2080.41,1.3
2015-12-31,2043.94,1.31
2016-01-29,1940.24,1.19
2016-02-29,1932.23,1.23
2016-03-31,2059.74,1.49
2016-04-29,2065.3,1.6
2016-05-31,2096.95,1.47
2016-06-30,2098.86,1.38
2016-07-29,2173.6,1.31
2016-08-31,2170.95,1.27
2016-09-30,2168.27,1.45
2016-10-31,2126.15,1.59
2016-11-30,2198.81,1.77
2016-12-30,2238.83,1.84
2017-01-31,2278.87,1.94
2017-02-28,2363.64,1.89
2017-03-31,2362.72,1.77
2017-04-28,2384.2,1.81
2017-05-31,2411.8,1.72
2017-06-30,2423.41,1.63
2017-07-31,2470.3,1.67
2017-08-31,2471.65,1.58
2017-09-29,2519.36,1.68
2017-10-31,2575.26,1.79
2017-11-30,2647.58,1.73
2017-12-29,2673.61,1.86
2018-01-31,2823.81,1.98
2018-02-28,2713.83,2.04
2018-03-30,2640.87,1.92
2018-04-30,2648.05,2.1
2018-05-31,2705.27,2.03
2018-06-29,2718.37,2.06
2018-07-31,2816.29,2.0
2018-08-31,2901.52,1.98
2018-09-28,2913.98,2.03
2018-10-31,2711.74,1.9
2018-11-30,2760.17,1.77
2018-12-31,2506.85,1.51
2019-01-31,2704.1,1.7
2019-02-28,2784.49,1.84
2019-03-29,2834.4,1.78
2019-04-30,2945.83,1.85
2019-05-31,2752.06,1.58
2019-06-28,2941.76,1.53
2019-07-31,2980.38,1.56
2019-08-30,2926.46,1.35
2019-09-30,2976.74,1.35
2019-10-31,3037.56,1.44
2019-11-29,3140.98,1.5
2019-12-31,3230.78,1.68
2020-01-31,3225.52,1.6
2020-02-28,2954.22,1.33
2020-03-31,2584.59,0.49
2020-04-30,2912.43,0.72
2020-05-29,3044.31,0.83
2020-06-30,3100.29,1.16
2020-07-31,3271.12,1.4
2020-08-31,3500.31,1.69
2020-09-30,3363.0,1.5
2020-10-30,3269.96,1.59
2020-11-30,3621.63,1.68
2020-12-31,3756.07,1.95
2021-01-29,3714.24,2.21
2021-02-26,3811.15,2.39
2021-03-31,3972.89,2.54
2021-04-30,4181.17,2.57
2021-05-31,4204.11,2.57
2021-06-30,4297.5,2.47
2021-07-30,4395.26,2.56
2021-08-31,4522.68,2.48
2021-09-30,4307.54,2.51
2021-10-29,4605.38,2.89
2021-11-30,4567.0,2.8
2021-12-31,4766.18,2.87
2022-01-31,4515.55,2.82
2022-02-28,4373.94,3.11
2022-03-31,4530.41,3.34
2022-04-29,4131.93,3.3
2022-05-31,4132.15,2.96
2022-06-30,3785.38,2.58
2022-07-29,4130.29,2.73
2022-08-31,3955.0,2.58
2022-09-30,3585.62,2.14
2022-10-31,3871.98,2.67
2022-11-30,4080.11,2.41
2022-12-30,3839.5,2.33
2023-01-31,4076.6,2.27
2023-02-28,3970.15,2.58
2023-03-31,4109.31,2.4
2023-04-28,4169.48,2.2
2023-05-31,4179.83,2.07
2023-06-30,4450.38,2.18
2023-07-31,4588.96,2.27
2023-08-31,4507.66,2.15
2023-09-29,4288.05,2.22
2023-10-31,4193.8,2.4
2023-11-30,4567.8,2.15
2023-12-29,4769.83,2.12
2024-01-31,4845.65,2.24
2024-02-29,5096.27,2.4
2024-03-29,5254.35,2.38
2024-04-30,5035.69,2.43
2024-05-31,5277.51,2.34
2024-06-28,5460.48,2.24
2024-07-31,5522.3,2.13
2024-08-30,5648.4,2.01
2024-09-30,5762.48,2.03
