DateTime,Gold
1789-01-01 00:00:08,
1790-01-01 00:00:08,
1791-01-01 00:00:08,
1792-01-01 00:00:08,
1792-12-31 00:00:08,19.39
1793-01-01 00:00:08,
1793-12-31 00:00:08,19.39
1794-01-01 00:00:08,
1794-12-31 00:00:08,19.39
1795-01-01 00:00:08,
1795-12-31 00:00:08,19.39
1796-01-01 00:00:08,
1796-12-31 00:00:08,19.39
1797-01-01 00:00:08,
1797-12-31 00:00:08,19.39
1798-01-01 00:00:08,
1798-12-31 00:00:08,19.39
1799-01-01 00:00:08,
1799-12-31 00:00:08,19.39
1800-01-01 00:00:08,
1800-12-31 00:00:08,19.39
1801-01-01 00:00:08,
1801-12-31 00:00:08,19.39
1802-01-01 00:00:08,
1802-12-31 00:00:08,19.39
1803-01-01 00:00:08,
1803-12-31 00:00:08,19.39
1804-01-01 00:00:08,
1804-12-31 00:00:08,19.39
1805-01-01 00:00:08,
1805-12-31 00:00:08,19.39
1806-01-01 00:00:08,
1806-12-31 00:00:08,19.39
1807-01-01 00:00:08,
1807-12-31 00:00:08,19.39
1808-01-01 00:00:08,
1808-12-31 00:00:08,19.39
1809-01-01 00:00:08,
1809-12-31 00:00:08,19.39
1810-01-01 00:00:08,
1810-12-31 00:00:08,19.39
1811-01-01 00:00:08,
1811-12-31 00:00:08,19.39
1812-01-01 00:00:08,
1812-12-31 00:00:08,19.39
1813-01-01 00:00:08,
1813-12-31 00:00:08,19.39
1814-01-01 00:00:08,
1814-12-31 00:00:08,21.79
1815-01-01 00:00:08,
1815-12-31 00:00:08,22.16
1816-01-01 00:00:08,
1816-12-31 00:00:08,19.84
1817-01-01 00:00:08,
1817-12-31 00:00:08,19.39
1818-01-01 00:00:08,
1818-12-31 00:00:08,19.39
1819-01-01 00:00:08,
1819-12-31 00:00:08,19.39
1820-01-01 00:00:08,
1820-12-31 00:00:08,19.39
1821-01-01 00:00:08,
1821-12-31 00:00:08,19.39
1822-01-01 00:00:08,
1822-12-31 00:00:08,19.39
1823-01-01 00:00:08,
1823-12-31 00:00:08,19.39
1824-01-01 00:00:08,
1824-12-31 00:00:08,19.39
1825-01-01 00:00:08,
