DateTime,S&P 500
1869-01-01 00:00:46,
1870-01-01 00:00:46,
1871-01-01 00:00:46,4.44
1871-02-01 00:00:46,4.5
1871-03-01 00:00:46,4.61
1871-04-01 00:00:46,4.74
1871-05-01 00:00:46,4.86
1871-06-01 00:00:46,4.82
1871-07-01 00:00:46,4.73
1871-08-01 00:00:46,4.79
1871-09-01 00:00:46,4.84
1871-10-01 00:00:46,4.59
1871-11-01 00:00:46,4.64
1871-12-01 00:00:46,4.74
1872-01-01 00:00:46,4.86
1872-02-01 00:00:46,4.88
1872-03-01 00:00:46,5.04
1872-04-01 00:00:46,5.18
1872-05-01 00:00:46,5.18
1872-06-01 00:00:46,5.13
1872-07-01 00:00:46,5.1
1872-08-01 00:00:46,5.04
1872-09-01 00:00:46,4.95
1872-10-01 00:00:46,4.97
1872-11-01 00:00:46,4.95
1872-12-01 00:00:46,5.07
1873-01-01 00:00:46,5.11
1873-02-01 00:00:46,5.15
1873-03-01 00:00:46,5.11
1873-04-01 00:00:46,5.04
1873-05-01 00:00:46,5.05
1873-06-01 00:00:46,4.98
1873-07-01 00:00:46,4.97
1873-08-01 00:00:46,4.97
1873-09-01 00:00:46,4.59
1873-10-01 00:00:46,4.19
1873-11-01 00:00:46,4.04
1873-12-01 00:00:46,4.42
1874-01-01 00:00:46,4.66
1874-02-01 00:00:46,4.8
1874-03-01 00:00:46,4.73
1874-04-01 00:00:46,4.6
1874-05-01 00:00:46,4.48
1874-06-01 00:00:46,4.46
1874-07-01 00:00:46,4.46
1874-08-01 00:00:46,4.47
1874-09-01 00:00:46,4.54
1874-10-01 00:00:46,4.53
1874-11-01 00:00:46,4.57
1874-12-01 00:00:46,4.54
1875-01-01 00:00:46,4.54
1875-02-01 00:00:46,4.53
1875-03-01 00:00:46,4.59
1875-04-01 00:00:46,4.65
1875-05-01 00:00:46,4.47
1875-06-01 00:00:46,4.38
1875-07-01 00:00:46,4.39
1875-08-01 00:00:46,4.41
1875-09-01 00:00:46,4.37
1875-10-01 00:00:46,4.3
1875-11-01 00:00:46,4.37
1875-12-01 00:00:46,4.37
1876-01-01 00:00:46,4.46
1876-02-01 00:00:46,4.52
1876-03-01 00:00:46,4.51
1876-04-01 00:00:46,4.34
1876-05-01 00:00:46,4.18
1876-06-01 00:00:46,4.15
1876-07-01 00:00:46,4.1
1876-08-01 00:00:46,3.93
1876-09-01 00:00:46,3.69
1876-10-01 00:00:46,3.67
1876-11-01 00:00:46,3.6
1876-12-01 00:00:46,3.58
1877-01-01 00:00:46,3.55
1877-02-01 00:00:46,3.34
1877-03-01 00:00:46,3.17
1877-04-01 00:00:46,2.94
1877-05-01 00:00:46,2.94
1877-06-01 00:00:46,2.73
1877-07-01 00:00:46,2.85
1877-08-01 00:00:46,3.05
1877-09-01 00:00:46,3.24
1877-10-01 00:00:46,3.31
1877-11-01 00:00:46,3.26
1877-12-01 00:00:46,3.25
1878-01-01 00:00:46,3.25
1878-02-01 00:00:46,3.18
1878-03-01 00:00:46,3.24
1878-04-01 00:00:46,3.33
1878-05-01 00:00:46,3.34
1878-06-01 00:00:46,3.41
1878-07-01 00:00:46,3.48
1878-08-01 00:00:46,3.45
1878-09-01 00:00:46,3.52
1878-10-01 00:00:46,3.48
1878-11-01 00:00:46,3.47
1878-12-01 00:00:46,3.45
1879-01-01 00:00:46,3.58
1879-02-01 00:00:46,3.71
1879-03-01 00:00:46,3.65
1879-04-01 00:00:46,3.77
1879-05-01 00:00:46,3.94
1879-06-01 00:00:46,3.96
1879-07-01 00:00:46,4.04
1879-08-01 00:00:46,4.07
1879-09-01 00:00:46,4.22
1879-10-01 00:00:46,4.68
1879-11-01 00:00:46,4.93
1879-12-01 00:00:46,4.92
1880-01-01 00:00:46,5.11
1880-02-01 00:00:46,5.2
1880-03-01 00:00:46,5.3
1880-04-01 00:00:46,5.18
1880-05-01 00:00:46,4.77
1880-06-01 00:00:46,4.79
1880-07-01 00:00:46,5.01
1880-08-01 00:00:46,5.19
1880-09-01 00:00:46,5.18
1880-10-01 00:00:46,5.33
1880-11-01 00:00:46,5.61
1880-12-01 00:00:46,5.84
1881-01-01 00:00:46,6.19
1881-02-01 00:00:46,6.17
1881-03-01 00:00:46,6.24
1881-04-01 00:00:46,6.22
1881-05-01 00:00:46,6.5
1881-06-01 00:00:46,6.58
1881-07-01 00:00:46,6.35
1881-08-01 00:00:46,6.2
1881-09-01 00:00:46,6.25
1881-10-01 00:00:46,6.15
1881-11-01 00:00:46,6.19
1881-12-01 00:00:46,6.01
1882-01-01 00:00:46,5.92
1882-02-01 00:00:46,5.79
1882-03-01 00:00:46,5.78
1882-04-01 00:00:46,5.78
1882-05-01 00:00:46,5.71
1882-06-01 00:00:46,5.68
1882-07-01 00:00:46,6
1882-08-01 00:00:46,6.18
1882-09-01 00:00:46,6.24
1882-10-01 00:00:46,6.07
1882-11-01 00:00:46,5.81
1882-12-01 00:00:46,5.84
1883-01-01 00:00:46,5.81
1883-02-01 00:00:46,5.68
1883-03-01 00:00:46,5.75
1883-04-01 00:00:46,5.87
1883-05-01 00:00:46,5.77
1883-06-01 00:00:46,5.82
1883-07-01 00:00:46,5.73
1883-08-01 00:00:46,5.47
1883-09-01 00:00:46,5.53
1883-10-01 00:00:46,5.38
1883-11-01 00:00:46,5.46
1883-12-01 00:00:46,5.34
1884-01-01 00:00:46,5.18
1884-02-01 00:00:46,5.32
1884-03-01 00:00:46,5.3
1884-04-01 00:00:46,5.06
1884-05-01 00:00:46,4.65
1884-06-01 00:00:46,4.46
1884-07-01 00:00:46,4.46
1884-08-01 00:00:46,4.74
1884-09-01 00:00:46,4.59
1884-10-01 00:00:46,4.44
1884-11-01 00:00:46,4.35
1884-12-01 00:00:46,4.34
1885-01-01 00:00:46,4.24
1885-02-01 00:00:46,4.37
1885-03-01 00:00:46,4.38
1885-04-01 00:00:46,4.37
1885-05-01 00:00:46,4.32
1885-06-01 00:00:46,4.3
1885-07-01 00:00:46,4.46
1885-08-01 00:00:46,4.71
1885-09-01 00:00:46,4.65
1885-10-01 00:00:46,4.92
1885-11-01 00:00:46,5.24
1885-12-01 00:00:46,5.2
1886-01-01 00:00:46,5.2
1886-02-01 00:00:46,5.3
1886-03-01 00:00:46,5.19
1886-04-01 00:00:46,5.12
1886-05-01 00:00:46,5.02
1886-06-01 00:00:46,5.25
1886-07-01 00:00:46,5.33
1886-08-01 00:00:46,5.37
1886-09-01 00:00:46,5.51
1886-10-01 00:00:46,5.65
1886-11-01 00:00:46,5.79
1886-12-01 00:00:46,5.64
1887-01-01 00:00:46,5.58
1887-02-01 00:00:46,5.54
1887-03-01 00:00:46,5.67
1887-04-01 00:00:46,5.8
1887-05-01 00:00:46,5.9
1887-06-01 00:00:46,5.73
1887-07-01 00:00:46,5.59
1887-08-01 00:00:46,5.45
1887-09-01 00:00:46,5.38
1887-10-01 00:00:46,5.2
1887-11-01 00:00:46,5.3
1887-12-01 00:00:46,5.27
1888-01-01 00:00:46,5.31
1888-02-01 00:00:46,5.28
1888-03-01 00:00:46,5.08
1888-04-01 00:00:46,5.1
1888-05-01 00:00:46,5.17
1888-06-01 00:00:46,5.01
1888-07-01 00:00:46,5.14
1888-08-01 00:00:46,5.25
1888-09-01 00:00:46,5.38
1888-10-01 00:00:46,5.35
1888-11-01 00:00:46,5.24
1888-12-01 00:00:46,5.14
1889-01-01 00:00:46,5.24
1889-02-01 00:00:46,5.3
1889-03-01 00:00:46,5.19
1889-04-01 00:00:46,5.18
1889-05-01 00:00:46,5.32
1889-06-01 00:00:46,5.41
1889-07-01 00:00:46,5.3
1889-08-01 00:00:46,5.37
1889-09-01 00:00:46,5.5
1889-10-01 00:00:46,5.4
1889-11-01 00:00:46,5.35
1889-12-01 00:00:46,5.32
1890-01-01 00:00:46,5.38
1890-02-01 00:00:46,5.32
1890-03-01 00:00:46,5.28
1890-04-01 00:00:46,5.39
1890-05-01 00:00:46,5.62
1890-06-01 00:00:46,5.58
1890-07-01 00:00:46,5.54
1890-08-01 00:00:46,5.41
